Period,Tranche 0 Interest Due,Tranche 0 Interest Paid,Tranche 0 Interest Shortfall, Tranche 0 Principal Paid, Tranche 0 Ending Balance,Tranche 1 Interest Due,Tranche 1 Interest Paid,Tranche 1 Interest Shortfall, Tranche 1 Principal Paid, Tranche 1 Ending Balance,Reserve Account Balance,
0,0,0,0,0,19848062.022424992,0,0,0,0,8506312.295324998,0
1,248100.77528031237,248100.77528031237,0.0,233833.62680580767,19614228.395619184,120506.09085043748,120506.09085043748,0.0,100214.41148820329,8406097.883836795,1.4551915228366852e-11
2,245177.8549452398,245177.8549452398,0.0,243208.7785969331,19371019.61702225,119086.38668768793,119086.38668768793,0.0,104232.3336843999,8301865.550152395,4.3655745685100555e-11
3,242137.7452127781,242137.7452127781,0.0,254456.57796326376,19116563.039058987,117609.76196049227,117609.76196049227,0.0,109052.81912711305,8192812.731025281,5.820766091346741e-11
4,238957.0379882373,238957.0379882373,0.0,248240.94707874858,18868322.091980238,116064.84702285816,116064.84702285816,0.0,106388.97731946368,8086423.753705818,8.731149137020111e-11
5,235854.02614975296,235854.02614975296,0.0,257605.26500248333,18610716.826977756,114557.66984416576,114557.66984416576,0.0,110402.25642963572,7976021.497276182,1.1641532182693481e-10
6,232633.96033722194,232633.96033722194,0.0,260184.01284066477,18350532.81413709,112993.63787807926,112993.63787807926,0.0,111507.43407457063,7864514.063201612,1.4551915228366852e-10
7,229381.6601767136,229381.6601767136,0.0,250326.4032926033,18100206.410844486,111413.94922868951,111413.94922868951,0.0,107282.74426825857,7757231.318933353,1.7462298274040222e-10
8,226252.58013555605,226252.58013555605,0.0,253580.64653540726,17846625.76430908,109894.11035155584,109894.11035155584,0.0,108677.41994374596,7648553.898989608,1.8917489796876907e-10
9,223082.82205386346,223082.82205386346,0.0,256877.19494036757,17589748.569368713,108354.51356901944,108354.51356901944,0.0,110090.22640301468,7538463.672586593,2.1827872842550278e-10
10,219871.85711710888,219871.85711710888,0.0,260216.59847459232,17329531.97089412,106794.90202831007,106794.90202831007,0.0,111521.39934625386,7426942.273240339,2.473825588822365e-10
11,216619.1496361765,216619.1496361765,0.0,263599.41425476194,17065932.55663936,105215.01553757148,105215.01553757148,0.0,112971.17753775512,7313971.095702584,2.9103830456733704e-10
12,213324.15695799197,213324.15695799197,0.0,267026.20664007385,16798906.349999286,103614.59052245328,103614.59052245328,0.0,114439.80284574594,7199531.292856838,3.346940502524376e-10
13,209986.32937499107,209986.32937499107,0.0,270497.54732639494,16528408.80267289,101993.35998213854,101993.35998213854,0.0,115927.52028274069,7083603.772574097,3.4924596548080444e-10
14,206605.1100334111,206605.1100334111,0.0,280454.5513556538,16247954.251317237,100351.05344479972,100351.05344479972,0.0,120194.80772385163,6963408.964850245,3.637978807091713e-10
15,203099.42814146544,203099.42814146544,0.0,289384.3374191138,15958569.913898122,98648.2936687118,98648.2936687118,0.0,124021.85889390591,6839387.105956339,3.92901711165905e-10
16,199482.1239237265,199482.1239237265,0.0,285317.37670697307,15673252.537191149,96891.31733438149,96891.31733438149,0.0,122278.87573155989,6717108.230224779,4.3655745685100555e-10
17,195915.65671488934,195915.65671488934,0.0,302936.5850015446,15370315.952189604,95159.0332615177,95159.0332615177,0.0,129829.96500066199,6587278.265224118,4.656612873077393e-10
18,192128.94940237002,192128.94940237002,0.0,286188.6179733264,15084127.334216278,93319.77542400834,93319.77542400834,0.0,122652.26484571132,6464626.000378406,4.94765117764473e-10
19,188551.59167770346,188551.59167770346,0.0,295802.42599247297,14788324.908223804,91582.20167202743,91582.20167202743,0.0,126772.46828248841,6337853.5320959175,4.94765117764473e-10
20,184854.06135279752,184854.06135279752,0.0,296405.0793849023,14491919.828838902,89786.25837135884,89786.25837135884,0.0,127030.74830781529,6210822.783788102,5.529727786779404e-10
21,181148.99786048624,181148.99786048624,0.0,301036.37958995433,14190883.449248947,87986.65610366478,87986.65610366478,0.0,129015.59125283758,6081807.192535264,5.966285243630409e-10
22,177386.04311561183,177386.04311561183,0.0,300521.47555817285,13890361.973690774,86158.93522758292,86158.93522758292,0.0,128794.91809635979,5953012.274438905,6.257323548197746e-10
23,173629.52467113466,173629.52467113466,0.0,310359.04474760947,13580002.928943165,84334.34055455115,84334.34055455115,0.0,133011.01917754693,5820001.255261358,6.548361852765083e-10
24,169750.03661178955,169750.03661178955,0.0,321088.45123263635,13258914.477710528,82450.01778286924,82450.01778286924,0.0,137609.33624255843,5682391.919018799,7.130438461899757e-10
25,165736.4309713816,165736.4309713816,0.0,311266.1271421079,12947648.350568421,80500.55218609967,80500.55218609967,0.0,133399.76877518912,5548992.15024361,7.712515071034431e-10
26,161845.60438210526,161845.60438210526,0.0,320079.5151518534,12627568.835416567,78610.72212845115,78610.72212845115,0.0,137176.93506508003,5411815.215178531,8.003553375601768e-10
27,157844.61044270708,157844.61044270708,0.0,328625.5648663059,12298943.27055026,76667.3822150292,76667.3822150292,0.0,140839.5277998454,5270975.687378685,8.294591680169106e-10
28,153736.79088187823,153736.79088187823,0.0,326361.1208051395,11972582.149745122,74672.15557119805,74672.15557119805,0.0,139869.05177363122,5131106.635605054,8.585629984736443e-10
29,149657.276871814,149657.276871814,0.0,336907.04979522026,11635675.0999499,72690.67733773826,72690.67733773826,0.0,144388.73562652298,4986717.8999785315,8.585629984736443e-10
30,145445.93874937374,145445.93874937374,0.0,336829.7312680277,11298845.368681872,70645.17024969588,70645.17024969588,0.0,144355.599114869,4842362.300863663,8.87666828930378e-10
